steps,distance,trackerDistance,loggedActivitiesDistance,veryActiveDistance,moderatelyActiveDistance,lightActiveDistance,sedentaryActiveDistance,veryActiveMinutes,fairlyActiveMinutes,lightlyActiveMinutes,sedentaryMinutes,calories
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,994.0,1296.0
2332.0,1.49000001,1.49000001,3.4165962489,0.01,0.180000007,1.299999952,0.01,1.0,10.0,111.0,904.0,2100.0
6309.0,4.519999981,4.519999981,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,3140.0
12409.0,8.100000381,8.100000381,3.4165962489,2.900000095,0.629999995,4.579999924,0.01,51.0,12.0,235.0,782.0,2142.0
11943.0,7.989999771,7.989999771,3.4165962489,1.029999971,2.00999999,4.949999809,0.01,16.0,43.0,297.0,710.0,1648.0
10000.0,6.5,6.5,3.4165962489,1.514999986,0.670000017,6.5,0.01,26.0,25.9695652174,172.0,1268.0,1469.0
9917.0,7.409999847,7.409999847,3.4165962489,1.99000001,0.970000029,4.440000057,0.01,58.0,27.0,240.0,700.0,3427.0
4853.0,3.660000086,3.660000086,3.4165962489,1.514999986,0.670000017,3.660000086,0.01,26.0,25.9695652174,156.0,770.0,1903.0
3098.0,1.919999957,1.919999957,3.4165962489,1.514999986,0.670000017,1.919999957,0.01,26.0,25.9695652174,185.0,700.0,1413.0
20237.0,14.71000004,14.71000004,3.4165962489,2.569999933,6.400000095,5.730000019,0.01,34.0,141.0,347.0,918.0,4029.0
8432.0,5.670000076,5.670000076,3.4165962489,1.514999986,0.670000017,5.650000095,0.01,26.0,25.9695652174,374.0,1066.0,1953.0
6499.0,5.269999981,5.269999981,3.4165962489,1.514999986,0.670000017,5.269999981,0.01,26.0,25.9695652174,207.0,809.0,2677.0
8046.0,5.849999905,5.849999905,3.4165962489,1.289999962,2.119999886,2.450000048,0.01,18.0,41.0,137.0,1244.0,2925.0
4506.0,2.930000067,2.930000067,3.4165962489,0.50999999,0.270000011,2.150000095,0.01,7.0,4.0,144.0,1285.0,1498.0
11463.0,7.670000076,7.670000076,3.4165962489,2.829999924,1.889999986,2.930000067,0.01,38.0,30.0,154.0,777.0,2496.0
2841.0,1.879999995,1.879999995,3.4165962489,1.514999986,0.670000017,1.879999995,0.01,26.0,25.9695652174,136.0,1114.0,1636.0
14557.0,9.800000191,9.800000191,3.4165962489,3.390000105,0.699999988,5.690000057,0.01,43.0,18.0,285.0,757.0,2030.0
18247.0,13.82999992,13.82999992,3.4165962489,7.110000134,2.210000038,4.510000229,0.01,72.0,62.0,252.0,1054.0,3021.0
10970.0,7.159999847,7.159999847,3.4165962489,2.359999895,0.50999999,4.289999962,0.01,30.0,13.0,223.0,1174.0,1820.0
16064.0,12.72000027,12.72000027,3.4165962489,9.979999542,0.360000014,2.380000114,0.01,96.0,8.0,155.0,1181.0,3097.0
6963.0,5.650000095,5.650000095,3.4165962489,1.514999986,0.670000017,5.650000095,0.01,26.0,25.9695652174,256.0,759.0,2895.0
8468.0,6.389999866,6.389999866,3.4165962489,0.180000007,0.639999986,5.570000172,0.01,2.0,11.0,279.0,1148.0,2262.0
2352.0,1.629999995,1.629999995,3.4165962489,1.514999986,0.670000017,1.629999995,0.01,26.0,25.9695652174,128.0,829.0,2380.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,1878.0
16806.0,11.23999977,11.23999977,3.4165962489,6.409999847,1.370000005,3.470000029,0.01,104.0,31.0,230.0,1002.0,3086.0
6999.0,4.71999979,4.71999979,3.4165962489,1.514999986,0.670000017,4.71999979,0.01,26.0,25.9695652174,320.0,1120.0,1950.0
20.0,0.01,0.01,3.4165962489,1.514999986,0.670000017,0.01,0.01,26.0,25.9695652174,6.0,598.0,728.0
4152.0,2.980000019,2.980000019,3.4165962489,1.514999986,0.670000017,2.960000038,0.01,26.0,25.9695652174,187.0,1253.0,2976.0
9152.0,7.260000229,7.260000229,3.4165962489,1.99000001,0.819999993,4.449999809,0.01,25.0,13.0,243.0,600.0,3304.0
6406.0,4.389999866,4.389999866,3.4165962489,0.779999971,0.090000004,3.519999981,0.01,17.0,4.0,325.0,1094.0,2010.0
8205.0,5.420000076,5.420000076,3.4165962489,1.514999986,0.670000017,5.420000076,0.01,26.0,25.9695652174,367.0,1073.0,2078.0
10001.0,6.610000134,6.610000134,3.4165962489,0.330000013,2.930000067,3.359999895,0.01,5.0,52.0,196.0,788.0,2009.0
8184.0,6.639999866,6.639999866,3.4165962489,1.514999986,0.620000005,5.949999809,0.01,26.0,15.0,247.0,808.0,2981.0
14400.0,10.88000011,9.520000458,5.45686388,2.470000029,2.880000114,5.53000021,0.01,27.0,37.0,276.0,697.0,2188.0
18.0,0.01,0.01,3.4165962489,1.514999986,0.670000017,0.01,0.01,26.0,25.9695652174,2.0,1438.0,1780.0
4863.0,3.279999971,3.279999971,3.4165962489,0.059999999,0.419999987,2.799999952,0.01,1.0,11.0,208.0,1220.0,1772.0
2275.0,1.679999948,1.679999948,3.4165962489,1.514999986,0.670000017,1.659999967,0.01,26.0,25.9695652174,86.0,1354.0,2005.0
7583.0,6.150000095,6.150000095,3.4165962489,0.25,0.550000012,5.349999905,0.01,3.0,13.0,227.0,742.0,2915.0
9713.0,6.53000021,6.53000021,3.4165962489,0.340000004,0.889999986,5.289999962,0.01,6.0,24.0,355.0,1055.0,2046.0
6506.0,5.28000021,5.28000021,3.4165962489,0.330000013,0.270000011,4.670000076,0.01,4.0,5.0,241.0,760.0,2886.0
6344.0,4.119999886,4.119999886,3.4165962489,1.514999986,0.670000017,4.099999905,0.01,26.0,25.9695652174,143.0,1297.0,1409.0
4636.0,3.410000086,3.410000086,3.4165962489,1.514999986,0.779999971,2.599999905,0.029999999,26.0,16.0,586.0,838.0,3323.0
6581.0,4.71999979,4.71999979,3.4165962489,1.514999986,0.289999992,4.389999866,0.01,26.0,8.0,241.0,1191.0,3032.0
7476.0,5.360000134,5.360000134,3.4165962489,1.514999986,0.670000017,5.309999943,0.01,26.0,25.9695652174,263.0,920.0,3253.0
187.0,0.140000001,0.140000001,3.4165962489,1.514999986,0.670000017,0.140000001,0.01,26.0,25.9695652174,11.0,400.0,538.0
2937.0,1.919999957,1.919999957,3.4165962489,1.514999986,0.670000017,1.909999967,0.01,26.0,25.9695652174,181.0,356.0,1615.0
1022.0,0.649999976,0.649999976,3.4165962489,1.514999986,0.670000017,0.649999976,0.01,26.0,25.9695652174,63.0,739.0,1890.0
12627.0,9.649999619,8.449999809,4.842319965,4.699999809,0.74000001,4.210000038,0.01,54.0,22.0,301.0,1063.0,2871.0
4599.0,3.0,3.0,3.4165962489,1.514999986,0.670000017,3.0,0.01,26.0,25.9695652174,176.0,578.0,1692.0
10494.0,7.840000153,7.840000153,3.4165962489,4.909999847,0.779999971,2.150000095,0.01,123.0,62.0,138.0,601.0,3817.0
8940.0,6.409999847,6.409999847,3.4165962489,1.514999986,0.670000017,0.610000014,0.039999999,26.0,25.9695652174,47.0,986.0,3706.0
6176.0,4.079999924,4.079999924,3.4165962489,0.07,0.25999999,3.75,0.01,1.0,7.0,269.0,886.0,1901.0
3279.0,2.029999971,2.029999971,3.4165962489,1.514999986,0.670000017,2.029999971,0.01,26.0,25.9695652174,164.0,694.0,1405.0
1846.0,1.24000001,1.24000001,3.4165962489,1.514999986,0.670000017,1.24000001,0.01,26.0,25.9695652174,93.0,1347.0,1508.0
12846.0,10.18999958,10.18999958,2.253081083,5.0,0.75,4.440000057,0.01,113.0,15.0,189.0,686.0,4128.0
