steps,distance,trackerDistance,loggedActivitiesDistance,veryActiveDistance,moderatelyActiveDistance,lightActiveDistance,sedentaryActiveDistance,veryActiveMinutes,fairlyActiveMinutes,lightlyActiveMinutes,sedentaryMinutes,calories
1949.0,1.309999943,1.309999943,3.4165962489,0.230000004,0.349999994,0.730000019,0.01,3.0,6.0,27.0,1404.0,1794.0
5543.0,3.720000029,3.720000029,3.4165962489,1.514999986,0.670000017,3.720000029,0.01,26.0,25.9695652174,266.0,941.0,2303.0
1259.0,0.870000005,0.870000005,3.4165962489,1.514999986,0.670000017,0.870000005,0.01,26.0,25.9695652174,73.0,938.0,2202.0
5367.0,3.549999952,3.549999952,3.4165962489,1.514999986,0.670000017,3.549999952,0.01,26.0,25.9695652174,263.0,1177.0,1889.0
13840.0,10.06000042,10.06000042,3.4165962489,1.309999943,3.720000029,5.03000021,0.01,18.0,81.0,192.0,1149.0,3290.0
3494.0,2.730000019,2.730000019,3.4165962489,1.514999986,0.670000017,2.690000057,0.01,26.0,25.9695652174,166.0,1274.0,2517.0
11943.0,7.989999771,7.989999771,3.4165962489,1.029999971,2.00999999,4.949999809,0.01,16.0,43.0,297.0,710.0,1648.0
7157.0,4.809999943,4.809999943,3.4165962489,1.514999986,0.670000017,4.809999943,0.01,26.0,25.9695652174,380.0,1060.0,1944.0
3821.0,2.450000048,2.450000048,3.4165962489,1.514999986,0.219999999,2.230000019,0.01,26.0,9.0,161.0,675.0,2229.0
7734.0,5.550000191,5.550000191,3.4165962489,1.159999967,0.49000001,3.819999933,0.059999999,20.0,12.0,223.0,1185.0,3264.0
10005.0,7.019999981,7.019999981,3.4165962489,0.079999998,1.049999952,5.900000095,0.01,1.0,23.0,339.0,1077.0,2458.0
7428.0,5.329999924,5.329999924,3.4165962489,0.870000005,0.920000017,3.50999999,0.01,18.0,33.0,261.0,860.0,3439.0
4370.0,3.130000114,3.130000114,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,3444.0
16267.0,12.59000015,12.59000015,3.4165962489,5.75,0.469999999,6.369999886,0.01,44.0,16.0,302.0,1078.0,2811.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,33.0,25.9695652174,201.8753246753,1407.0,2664.0
7338.0,4.670000076,4.670000076,3.4165962489,1.080000043,0.129999995,3.460000038,0.01,27.0,5.0,204.0,717.0,2519.0
1951.0,1.409999967,1.409999967,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,1980.0
13417.0,9.649999619,8.869999886,1.926301956,3.390000105,1.25,4.909999847,0.100000001,45.0,16.0,284.0,665.0,2244.0
1931.0,1.279999971,1.279999971,3.4165962489,1.514999986,0.670000017,1.279999971,0.01,26.0,25.9695652174,94.0,1346.0,1607.0
5662.0,3.920000076,3.920000076,3.4165962489,1.514999986,0.670000017,3.920000076,0.01,26.0,25.9695652174,267.0,858.0,2783.0
4636.0,3.410000086,3.410000086,3.4165962489,1.514999986,0.779999971,2.599999905,0.029999999,26.0,16.0,586.0,838.0,3323.0
6406.0,4.389999866,4.389999866,3.4165962489,0.779999971,0.090000004,3.519999981,0.01,17.0,4.0,325.0,1094.0,2010.0
15266.0,11.39999962,10.21000004,5.189849854,5.800000191,0.75999999,4.789999962,0.050000001,70.0,21.0,292.0,1057.0,2886.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,198.0,251.0
