steps,distance,trackerDistance,loggedActivitiesDistance,veryActiveDistance,moderatelyActiveDistance,lightActiveDistance,sedentaryActiveDistance,veryActiveMinutes,fairlyActiveMinutes,lightlyActiveMinutes,sedentaryMinutes,calories
4636.0,3.410000086,3.410000086,3.4165962488750004,1.5149999859999999,0.779999971,2.599999905,0.029999999,26.0,16.0,586.0,838,3323.0
20237.0,14.71000004,14.71000004,3.4165962488750004,2.569999933,6.400000095,5.730000019,0.01,34.0,141.0,347.0,918,4029.0
12912.0,9.409999847,9.409999847,3.4165962488750004,4.829999924,0.769999981,3.789999962,0.029999999,59.0,16.0,283.0,1082,3436.0
2819.0,2.049999952,2.049999952,3.4165962488750004,0.310000002,0.170000002,1.559999943,0.01,4.0,4.0,87.0,1345,2444.0
9921.0,7.210000038,7.210000038,3.4165962488750004,0.340000004,1.519999981,5.360000134,0.01,5.0,35.0,219.0,1181,3098.0
8046.0,5.849999905,5.849999905,3.4165962488750004,1.289999962,2.119999886,2.450000048,0.01,18.0,41.0,137.0,1244,2925.0
11166.0,8.119999886,8.119999886,3.4165962488750004,0.209999993,2.410000086,5.5,0.01,3.0,58.0,230.0,1149,3202.0
7842.0,5.699999809,5.699999809,3.4165962488750004,0.479999989,2.410000086,2.809999943,0.01,7.0,43.0,161.0,1229,2928.0
13840.0,10.06000042,10.06000042,3.4165962488750004,1.309999943,3.720000029,5.03000021,0.01,18.0,81.0,192.0,1149,3290.0
1329.0,0.970000029,0.970000029,3.4165962488750004,1.5149999859999999,0.670000017,0.970000029,0.01,26.0,25.969565217391306,35.0,207,489.0
6847.0,4.53000021,4.53000021,3.4165962488750004,0.610000014,0.370000005,3.549999952,0.01,9.0,9.0,251.0,1171,1969.0
5367.0,3.549999952,3.549999952,3.4165962488750004,1.5149999859999999,0.670000017,3.549999952,0.01,26.0,25.969565217391306,263.0,1177,1889.0
2841.0,1.879999995,1.879999995,3.4165962488750004,1.5149999859999999,0.670000017,1.879999995,0.01,26.0,25.969565217391306,136.0,1114,1636.0
6895.5,4.964999914,4.960000038,3.4165962488750004,1.5149999859999999,0.670000017,3.448616187986945,0.01,26.0,25.969565217391306,201.87532467532466,669,1347.0
6895.5,4.964999914,4.960000038,3.4165962488750004,1.5149999859999999,0.670000017,3.448616187986945,0.01,26.0,25.969565217391306,201.87532467532466,1440,1347.0
7.0,4.964999914,4.960000038,3.4165962488750004,1.5149999859999999,0.670000017,3.448616187986945,0.01,26.0,25.969565217391306,1.0,1439,1349.0
